,run,tot_num,n_trig,n_SAC,n_BAC,n_KVC,effSAC,effBAC,effKVC,x,y
run0300,300.0,25056.0,23551.0,23536.0,1946.0,16684.0,0.999363,0.0826292,0.70842,-64.0,0.0
run0301,301.0,25072.0,23698.0,23500.0,23680.0,23672.0,0.991645,0.99924,0.998903,-48.0,0.0
run0302,302.0,25035.0,23679.0,23387.0,23678.0,23661.0,0.987668,0.999958,0.99924,-32.0,0.0
run0303,303.0,25034.0,23541.0,23223.0,23539.0,22996.0,0.986492,0.999915,0.976849,-16.0,0.0
run0304,304.0,25034.0,23648.0,23313.0,23645.0,23644.0,0.985834,0.999873,0.999831,0.0,0.0
run0305,305.0,25030.0,23601.0,23259.0,23597.0,22505.0,0.985509,0.999831,0.953561,16.0,0.0
run0306,306.0,25055.0,23661.0,23388.0,23658.0,23646.0,0.988462,0.999873,0.999366,32.0,0.0
run0307,307.0,25027.0,23634.0,23518.0,23623.0,1806.0,0.995092,0.999535,0.0764153,48.0,0.0
run0308,308.0,25021.0,22689.0,22660.0,1212.0,2069.0,0.998722,0.053418,0.0911896,64.0,0.0
run0309,309.0,26028.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
run0310,310.0,25068.0,23573.0,23405.0,1776.0,17123.0,0.992873,0.0753404,0.726382,-64.0,-18.0
run0312,312.0,25087.0,23675.0,23382.0,23643.0,23639.0,0.987624,0.998648,0.998479,-48.0,-18.0
run0313,313.0,25036.0,23612.0,23336.0,23595.0,23602.0,0.988311,0.99928,0.999576,-32.0,-18.0
run0314,314.0,25044.0,23704.0,23411.0,23699.0,23103.0,0.987639,0.999789,0.974646,-16.0,-18.0
run0315,315.0,25042.0,23555.0,23278.0,23553.0,23546.0,0.98824,0.999915,0.999618,0.0,-18.0
run0316,316.0,25057.0,23580.0,23338.0,23572.0,22535.0,0.989737,0.999661,0.955683,16.0,-18.0
run0317,317.0,25082.0,23672.0,23443.0,23665.0,23651.0,0.990326,0.999704,0.999113,32.0,-18.0
run0318,318.0,25076.0,23676.0,23530.0,23654.0,1796.0,0.993833,0.999071,0.0758574,48.0,-18.0
run0319,319.0,25077.0,22244.0,22115.0,1151.0,2023.0,0.994201,0.0517443,0.0909459,64.0,-18.0
run0320,320.0,26512.0,0.0,0.0,0.0,0.0,,,,0.0,-18.0
run0322,322.0,25024.0,23484.0,23126.0,1836.0,17839.0,0.984756,0.0781809,0.759624,-64.0,-36.0
run0323,323.0,25018.0,23619.0,23381.0,23578.0,23602.0,0.989923,0.998264,0.99928,-48.0,-36.0
run0324,324.0,25062.0,23701.0,23563.0,23690.0,23694.0,0.994177,0.999536,0.999705,-32.0,-36.0
run0325,325.0,25072.0,23676.0,23562.0,23667.0,22956.0,0.995185,0.99962,0.969589,-16.0,-36.0
run0327,327.0,25076.0,23581.0,23481.0,23571.0,22658.0,0.995759,0.999576,0.960858,16.0,-36.0
run0328,328.0,25024.0,23684.0,23623.0,23671.0,23658.0,0.997424,0.999451,0.998902,32.0,-36.0
run0329,329.0,25093.0,23629.0,23554.0,23622.0,23622.0,0.996826,0.999704,0.999704,0.0,-36.0
run0330,330.0,25030.0,23652.0,23586.0,23601.0,1712.0,0.99721,0.997844,0.0723829,48.0,-36.0
run0331,331.0,25027.0,17759.0,17629.0,809.0,1516.0,0.99268,0.0455544,0.0853652,64.0,-36.0
run0332,332.0,26037.0,0.0,0.0,0.0,0.0,,,,0.0,-18.0
run0333,333.0,25065.0,23565.0,23031.0,1724.0,17334.0,0.977339,0.0731593,0.735582,-64.0,-54.0
run0334,334.0,25096.0,23644.0,23442.0,18649.0,22815.0,0.991457,0.788741,0.964938,-48.0,-54.0
run0335,335.0,25054.0,20712.0,20507.0,17140.0,20301.0,0.990102,0.82754,0.980156,-32.0,-54.0
run0336,336.0,25062.0,20260.0,19666.0,17205.0,19515.0,0.970681,0.84921,0.963228,-16.0,-54.0
run0338,338.0,25018.0,23442.0,23069.0,19910.0,23197.0,0.984088,0.84933,0.989549,0.0,-54.0
run0339,339.0,25036.0,23521.0,22990.0,20720.0,22735.0,0.977424,0.880915,0.966583,16.0,-54.0
run0340,340.0,25054.0,23663.0,23555.0,20684.0,23420.0,0.995436,0.874107,0.989731,32.0,-54.0
run0341,341.0,25068.0,23670.0,23562.0,20985.0,2054.0,0.995437,0.886565,0.0867765,48.0,-54.0
run0342,342.0,25026.0,23453.0,23253.0,1115.0,2003.0,0.991472,0.0475419,0.0854049,64.0,-54.0
run0343,343.0,26052.0,0.0,0.0,0.0,0.0,,,,0.0,-54.0
run0344,344.0,25040.0,23573.0,23452.0,1740.0,15104.0,0.994867,0.0738133,0.640733,-64.0,18.0
run0345,345.0,25039.0,24412.0,24172.0,24392.0,24387.0,0.990169,0.999181,0.998976,-48.0,18.0
run0346,346.0,25070.0,23022.0,22792.0,23021.0,23000.0,0.99001,0.999957,0.999044,-32.0,18.0
run0347,347.0,25079.0,23640.0,23387.0,23638.0,23375.0,0.989298,0.999915,0.98879,-16.0,18.0
run0348,348.0,25029.0,23658.0,23437.0,23654.0,23651.0,0.990659,0.999831,0.999704,0.0,18.0
run0349,349.0,25038.0,22901.0,22649.0,22895.0,21835.0,0.988996,0.999738,0.953452,16.0,18.0
run0351,351.0,25068.0,23568.0,23396.0,23550.0,1845.0,0.992702,0.999236,0.0782841,48.0,18.0
run0352,352.0,25043.0,23618.0,23402.0,23614.0,23605.0,0.990854,0.999831,0.99945,32.0,18.0
run0353,353.0,25023.0,23570.0,23307.0,23559.0,22490.0,0.988842,0.999533,0.954179,16.0,18.0
run0354,354.0,25068.0,23625.0,23492.0,1207.0,2136.0,0.99437,0.0510899,0.0904127,64.0,18.0
run0355,355.0,25974.0,0.0,0.0,0.0,0.0,,,,0.0,18.0
run0357,357.0,25064.0,23598.0,23462.0,1185.0,2200.0,0.994237,0.0502161,0.0932282,64.0,-18.0
run0360,360.0,25052.0,23571.0,22883.0,20065.0,22706.0,0.970812,0.851258,0.963302,-16.0,-54.0
run0361,361.0,25036.0,23550.0,23313.0,19661.0,23072.0,0.989936,0.834862,0.979703,-32.0,-54.0
run0362,362.0,25060.0,23630.0,23416.0,1018.0,1912.0,0.990944,0.0430808,0.0809141,64.0,-36.0
run0363,363.0,25072.0,23707.0,23397.0,1542.0,14325.0,0.986924,0.0650441,0.604252,-64.0,36.0
run0365,365.0,25051.0,23608.0,23430.0,23596.0,23598.0,0.99246,0.999492,0.999576,-48.0,36.0
run0366,366.0,25048.0,23703.0,23593.0,23697.0,23686.0,0.995359,0.999747,0.999283,-32.0,36.0
run0368,368.0,25024.0,23585.0,23497.0,23583.0,23509.0,0.996269,0.999915,0.996778,-16.0,36.0
run0371,371.0,25061.0,23499.0,23431.0,23497.0,23499.0,0.997106,0.999915,1.0,0.0,36.0
run0372,372.0,25037.0,23577.0,23484.0,23572.0,22757.0,0.996055,0.999788,0.96522,16.0,36.0
run0373,373.0,25069.0,23634.0,23505.0,23626.0,23617.0,0.994542,0.999662,0.999281,32.0,36.0
run0374,374.0,25017.0,23502.0,23327.0,23480.0,1919.0,0.992554,0.999064,0.0816526,48.0,36.0
run0376,376.0,25065.0,23655.0,23267.0,1129.0,1986.0,0.983598,0.0477278,0.0839569,64.0,36.0
run0377,377.0,25996.0,0.0,0.0,0.0,0.0,,,,0.0,36.0
run0378,378.0,25036.0,23580.0,22217.0,1316.0,13199.0,0.942197,0.05581,0.559754,-64.0,54.0
run0379,379.0,25102.0,23631.0,22300.0,16077.0,23079.0,0.943676,0.680335,0.976641,-48.0,54.0
run0380,380.0,25074.0,23733.0,23359.0,17214.0,23027.0,0.984241,0.725319,0.970252,-32.0,54.0
run0381,381.0,25078.0,23815.0,23076.0,16352.0,23064.0,0.968969,0.686626,0.968465,-16.0,54.0
run0382,382.0,25075.0,23549.0,22724.0,15139.0,22647.0,0.964967,0.642872,0.961697,0.0,54.0
run0383,383.0,25033.0,23615.0,23023.0,15089.0,21805.0,0.974931,0.638958,0.923354,16.0,54.0
run0384,384.0,25019.0,23583.0,23221.0,15410.0,22425.0,0.98465,0.653437,0.950897,32.0,54.0
run0385,385.0,25118.0,23696.0,23413.0,14219.0,2074.0,0.988057,0.600059,0.0875253,48.0,54.0
run0386,386.0,25046.0,23608.0,22944.0,1017.0,1747.0,0.971874,0.0430786,0.0740003,64.0,54.0
run0387,387.0,25992.0,0.0,0.0,0.0,0.0,,,,0.0,54.0
run0388,388.0,25035.0,23604.0,23464.0,20681.0,23540.0,0.994069,0.876165,0.997289,0.0,51.0
run0390,390.0,25035.0,23626.0,23395.0,21125.0,23577.0,0.990223,0.894142,0.997926,-48.0,51.0
run0391,391.0,25028.0,23542.0,23421.0,20096.0,1910.0,0.99486,0.853623,0.0811316,48.0,51.0
run0392,392.0,25042.0,23623.0,23371.0,23611.0,22524.0,0.989332,0.999492,0.953478,-39.0,51.0
